,title,company,salary,summary,location,link
0,Junior IT Helpdesk Analyst,Civica,,"Liaise with specialist technical and software development staff.
Configure our platform to implement client processes.",Remote,https://uk.indeed.com/company/Civica-Group-Ltd/jobs/Junior-IT-Helpdesk-Analyst-00cffe9ba546a8b7?fccid=5d54652a1f6cdbc1&vjs=3
1,Junior Technical Analyst,Civica,,"This may include creation of Windows user accounts, software patching, SQL backups and restores.
The responsibility of the Junior Technical Analyst is to ensure…",Remote,https://uk.indeed.com/company/Civica-Group-Ltd/jobs/Junior-Technical-Analyst-4c9b7d9f3a4c3b41?fccid=5d54652a1f6cdbc1&vjs=3
2,Junior Developer,SwiftCase,,Work with our development team to: Design software solution; Build client-side and server-side architecture; Develop and manage well-functioning databases and…,Remote,https://uk.indeed.com/rc/clk?jk=169989e42733bd8e&fccid=5118f22be199845d&vjs=3
3,Junior Developer,Probrand Ltd,,Mercato are committed to providing our employees with the training and development they need to grow their skill set and knowledge and provide simple innovative…,Remote,https://uk.indeed.com/rc/clk?jk=061e95f70be59c13&fccid=886f7e131e00f82b&vjs=3
4,Junior UX Consultant,Ideagen,,"Junior UX Consultant is responsible for conducting user research, interviews, and surveys, and works with team members to translate them into user flows,…",Remote,https://uk.indeed.com/rc/clk?jk=50d46299549cca07&fccid=a583cadd0d866f2a&vjs=3
5,Java Developer,Cathedral Appointments,,"Grow with us, eventually providing mentorship and technical direction to junior team members.
Java Engineer - Junior and Mid Level*.",Remote,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DT8joBX-KH5QGuAawGdqNyL2lp4vLAxG5_MiYCN2zMBn98g6EU4ZV1lV4m5baRVnDZAYM7JaeFeqRmlNnwO8iCNy4_r9w08aj0ryRLEHebxcGwoH16o2fVPNiNVL5D75kKPn9ib_ZFxDXpnXNaj4CbryYAVWJPv3h_aSEDCviJLLTkz7beGbNBW72vdbZjGRFdWbVq1AP5RIGMWtreycoeoyCAYhClYtMCka0yNE1_j1G5qA72_GIkMuHhsoyOrFHEtHuSDi1WpK6VV4C_PF4ap4ETrvDXqGlWFcNChdmEQq1Q7Xusk_eCnTQr54AGs57zu0f-0SX7cqoK5onk4rmkwW864NObM2P0lb0BNLwd104PtaqKbMynkvgvzWMfFteQNPMjdqeWIVMQBx_8W6M0utTBnfipjN05nq5ntBdd1IXa_Op-hpCM0HQA3xLbjUevzlFm20zoPTbegYS_9wEYaSUcchaJyHTwAkZHsTcOfvoatz9QLG7Ii5GocEP-6k4=&p=5&fvj=1&vjs=3
6,Junior Software Engineer (Backend),Mambo Solutions,,You will be expected to ramp up quickly and tackle anything from bug fixing all the way through to designing and implementing new features from the ground up.,Remote,https://uk.indeed.com/rc/clk?jk=90d05fe3f6013b47&fccid=a0e915f587a5bc0a&vjs=3
7,Junior Developer - LAMP,National Accident Law - Advert Layout,,"Follow Agile development methodologies to deliver high quality, working software within set timescales.
As a Junior Developer you will be assisting in the…",Remote,https://uk.indeed.com/rc/clk?jk=a85fbfbfb8c13841&fccid=b6b7b57be2277bfd&vjs=3
8,Software Developer,Datasource,,"Remain knowledgeable of current software development tools and techniques.
15, staff to continue to expand and deliver their growing client and product…",Remote,https://uk.indeed.com/rc/clk?jk=a03314920d6baa64&fccid=290ed65fe937e741&vjs=3
9,Junior Network Engineer,Concept Resourcing,,"I am working with a prestigious IT Solutions Provider who require a number of Networking resource to support a large-scale transformation programme, on behalf…",Remote,https://uk.indeed.com/rc/clk?jk=9940b3b0b6e0db53&fccid=4ee3d7e2e6445ea6&vjs=3
10,"Junior Web Designer - Liverpool, UK",Simpleview,,"To conceptualise design ideas, design and create layouts of overall ‘look and feel’ of our clients’ web sites, corporate identity and promotional material…",Remote,https://uk.indeed.com/rc/clk?jk=0a7a1bd093b86c5f&fccid=dd31feee05020c5f&vjs=3
11,Junior Digital Designer,National Accident Law - Advert Layout,,"THE PURPOSE OF OUR JUNIOR DIGITAL DESIGNER.
As a Junior Digital Designer you will be working with the Senior Web designer & Developer in supporting delivery of…",Remote,https://uk.indeed.com/rc/clk?jk=068163aa81241e91&fccid=b6b7b57be2277bfd&vjs=3
12,Automation Engineer,Crimson Panda,,"Strong passion for best practice software development.
Mentor and develop junior members of the team, leading by example, exemplifying the values of the…",Remote,https://uk.indeed.com/rc/clk?jk=7e8352e2eb996747&fccid=1fc10225da74be0d&vjs=3
13,Junior Developer,Digital Wholesale Solutions,,"Providing training and advice to customers and junior team members via phone, email and collaboration software.
This role will be based remotely.",Remote,https://uk.indeed.com/company/Digital-Wholesale-Solutions/jobs/Junior-Developer-ab107462ae3853b6?fccid=68eb0077c62d16b3&vjs=3
14,Software Support Engineer,Union Street Technologies,,"Analyse system and software log files to diagnose causes of software problems.
Provide training and advice to customers and junior team members via phone, email…",Remote,https://uk.indeed.com/company/Digital-Wholesale-Solutions/jobs/Software-Support-Engineer-5d567104b9521e08?fccid=68eb0077c62d16b3&vjs=3
15,Software Engineer (Javascript),BibliU,,"Contract type: Full-time, Permanent.
BibliU's learning enablement platform empowers universities and colleges to automate learning content workflows and improve…",Remote,https://uk.indeed.com/rc/clk?jk=c588ede6935b2021&fccid=86d40bb5ea69fa85&vjs=3
16,Full Stack Software Engineer,10to8 Ltd.,,"Training and mentoring junior developers.
4+ years of software experience.
A competitive salary of £42,000 - £60,000 per annum dependent upon experience*.",Remote,https://uk.indeed.com/company/10to8-Ltd/jobs/Full-Stack-Software-Engineer-b7de22ffcbab063f?fccid=3596a4a7a813626a&vjs=3
17,.net Developer,Everflow Water,,"Supporting and encouraging more junior developers.
.Net Developer - Software Development Department – Wynyard, TS22 – Full Remote - £37,000 to £45,000 plus…",Remote,https://uk.indeed.com/company/Everflow-Water/jobs/Net-Developer-a40065a33083ef5f?fccid=a66f61de9346741c&vjs=3
18,Junior/Graduate Backend Developer (Java/C++),Intrinsic Group Limited,,"A certified qualification in software development, with a focus on backend server technologies.
Junior/Graduate Backend Developer (Java/C++) – LINK Imperium a…",Remote,https://uk.indeed.com/company/Intrinsic-Dev/jobs/Junior-Graduate-Backend-Developer-33434603e2700be0?fccid=7424d7c90c7d3f05&vjs=3
19,Software Support Engineer,Union Street Technologies,,"Analyse system and software log files to diagnose causes of software problems.
Provide training and advice to customers and junior team members via phone, email…",Remote,https://uk.indeed.com/company/Digital-Wholesale-Solutions/jobs/Software-Support-Engineer-5d567104b9521e08?fccid=68eb0077c62d16b3&vjs=3
20,"Junior Web Designer - Liverpool, UK",Simpleview,,"To conceptualise design ideas, design and create layouts of overall ‘look and feel’ of our clients’ web sites, corporate identity and promotional material…",Remote,https://uk.indeed.com/rc/clk?jk=0a7a1bd093b86c5f&fccid=dd31feee05020c5f&vjs=3
21,Principal Software Engineer,Dragoonis Technologies,,"You follow the latest in software engineering and open source technologies.
Influence peers, advise senior leaders, coach and mentor junior team members.",Remote,https://uk.indeed.com/company/Dragoonis-Technologies/jobs/Principal-Software-Engineer-6919400be9e7027d?fccid=812c7a18ac7fe18e&vjs=3
22,Junior Software Engineer,Version 1,,You will be contributing to real decisions about technology to create maintainable solutions for our customers and participating in a highly collaborative group…,Remote,https://uk.indeed.com/rc/clk?jk=98b41cb18e71acff&fccid=8ad0ba7074a5e6ea&vjs=3
23,Junior Smart Home Integration Developer,Intrinsic Dev,,"Junior Smart Home Integration Developer – Intrinsic Dev Limited.
While appropriate support is available the ability and drive to continually research and self…",Remote,https://uk.indeed.com/company/Intrinsic-Dev/jobs/Junior-Smart-Home-Integration-Developer-4a3a1be3807e9647?fccid=7424d7c90c7d3f05&vjs=3
24,Software Developer,Matt Burton Associates,,"As a valued member of the Software Development team, you will develop high quality code to produce functional software applications to fulfil the specified…",Remote,https://uk.indeed.com/company/Matt-Burton-for-MBA/jobs/Software-Developer-e735bb4b827f292d?fccid=1b5a280bad872477&vjs=3
25,Lead Software Developer,WEX Europe Services Ltd,,"Responsible for training and mentoring junior or new staff.
Strong skills in writing high-performance, efficient, maintainable software.",Remote,https://uk.indeed.com/company/WEX-Travel/jobs/Lead-Software-Developer-82fd4f4430477ba3?fccid=83d71f7ea4dbabe5&vjs=3
26,Software Architect,NECSWS,,"Desire to work with and mentor junior engineers.
Define and implement common application integration patterns.
Agile methodologies such as Kanban and Scrum.",Remote,https://uk.indeed.com/rc/clk?jk=9ad6403029ae18c8&fccid=cd106fcc81f9985b&vjs=3
27,Software Engineer - AR / VR (London),Oculus,,"Experience mentoring junior staff / interns.
The ideal candidate is a software engineer with experience in VR, simulation, visualization or a creative industry …",Remote,https://uk.indeed.com/rc/clk?jk=0bf965df32a462c4&fccid=ba07516c418dda52&vjs=3
28,Junior Developer - LAMP,NAHL Group,,"Follow Agile development methodologies to deliver high quality, working software within set timescales.
As a Junior Developer you will be assisting in the…",Remote,https://uk.indeed.com/rc/clk?jk=48fd48c8cd3c84c9&fccid=369d39c75a1830e4&vjs=3
29,Developer in Test,Crimson Panda,,"Strong passion for best practice software development.
Mentor and develop junior members of the team, leading by example, exemplifying the values of the…",Remote,https://uk.indeed.com/rc/clk?jk=d0495b9bcb40f289&fccid=1fc10225da74be0d&vjs=3
30,Lead Software Engineer (Backend),HeliosX,,"We are constantly looking for ways to improve our systems and architecture to ensure we have a system that is reliable, performant and flexible for future…",Remote,https://uk.indeed.com/company/HeliosX/jobs/Lead-Software-Engineer-99bc3a1b040df1f7?fccid=cb36ac94e28eaa8c&vjs=3
31,Software Developer(s),Consortia,,"They are looking for all levels – from junior all the way to technical lead level.
London (Open to fully-remote within UK or office based).",Remote,https://uk.indeed.com/rc/clk?jk=0f42e309f5a6b60e&fccid=04f36097f3ddf22e&vjs=3
32,.net Developer,Everflow Water,,"Supporting and encouraging more junior developers.
.Net Developer - Software Development Department – Wynyard, TS22 – Full Remote - £37,000 to £45,000 plus…",Remote,https://uk.indeed.com/company/Everflow-Water/jobs/Net-Developer-a40065a33083ef5f?fccid=a66f61de9346741c&vjs=3
33,UI Designer,Ideagen,,"Mentor and share knowledge with junior members within the team.
Be a great team player, experienced in working with agile teams.",Remote,https://uk.indeed.com/rc/clk?jk=ba813f5510041361&fccid=a583cadd0d866f2a&vjs=3
34,Software Engineer,PODFather,,"We are committed to using CI/CD pipelines to automate code deployment, catch errors through static analysis and to automatically run test suites.",Remote,https://uk.indeed.com/rc/clk?jk=bef73a34f8ef6c25&fccid=9c5902b94cb0523f&vjs=3
35,Software Engineer,Impartner Inc,,"Deliver new software features promptly and free of defects.
Provide oversight, guidance, and coaching to peers and junior developers.",Remote,https://uk.indeed.com/rc/clk?jk=a3eebee4c35a66d1&fccid=d9ba6dae19733061&vjs=3
36,Junior Project Manager,AppyWay,,"A familiarity of software release processes to ensure quality, working directly with product managers across different sectors.",Remote,https://uk.indeed.com/rc/clk?jk=3830b3b801317d7a&fccid=5f08b3f3e513f5fb&vjs=3
37,Senior Software Engineer (Oracle),Utilita,,"You will enjoy mentoring and bringing on junior developers and seeing people grow.
Writing well designed, testable, efficient code by following the documented…",Remote,https://uk.indeed.com/company/Utilita/jobs/Senior-Software-Engineer-755649fcbc9878c3?fccid=c77a517d42b12b12&vjs=3
38,Implementation Consultant,Stratospherec,,"Carry out software configuration in line with requirements.
My client a fast growing, innovative software business with a unique set of tools for the online…",Remote,https://uk.indeed.com/rc/clk?jk=1b11dfa1d62988af&fccid=702902d9996ab347&vjs=3
39,Software Tester,Woven,,"Minimum 3 years of experience in software testing.
Mentor and lead junior members of the team.
Experience of test automation software and creating new…",Remote,https://uk.indeed.com/rc/clk?jk=c3421beedc305a33&fccid=2cfb577db3401bf2&vjs=3
40,Senior Software Engineer,LexisNexis Risk Solutions Group,,"BASIC FUNCTIONS: This position performs complex research, design, and software development assignments within a software functional area or product line, and…",Remote,https://uk.indeed.com/company/LexisNexis/jobs/Senior-Software-Engineer-f5be1b2463924042?fccid=cce17bd4beada08d&vjs=3
41,"PHP Developer (Remote, based in the UK)",Gecko,,"#1 Development work - designing and implementing low-latency, high availability and performant software,.
Our tech stack is a mixture of PHP and Javascript and…",Remote,https://uk.indeed.com/rc/clk?jk=e5dfa3dbfa54c5bb&fccid=29126d34a81c83b3&vjs=3
42,.NET Consultant,Amido,,"Working with software configuration management, CI and versioning strategies.
NET Consultants. You will be joining a cross-functional team of highly skilled and…",Remote,https://uk.indeed.com/rc/clk?jk=75058f2cc9af60a7&fccid=1dd9cfabb691aa01&vjs=3
43,IT Systems Specialist,Jisc,,"To undertake infrastructure changes and software updates on Dynamics 365 as needed and develop the use of Microsoft Automated Testing Tools, Microsoft Flow,…",Remote,https://uk.indeed.com/rc/clk?jk=955c36d2b6cd6238&fccid=1d06ac18f1c89eab&vjs=3
44,Project Manager,Bell Integration,,"Mentor and develop junior members of staff in a nurturing manner.
Overview: *Bell Integration* is a technology services provider; supporting its customers…",Remote,https://uk.indeed.com/company/Bell-Integration/jobs/Project-Manager-77f437000b931326?fccid=ac0465a2ff988cbb&vjs=3
45,Senior Software Engineer,LexisNexis Risk Solutions Group,,"BASIC FUNCTIONS: This position performs complex research, design, and software development assignments within a software functional area or product line, and…",Remote,https://uk.indeed.com/company/LexisNexis/jobs/Senior-Software-Engineer-f5be1b2463924042?fccid=cce17bd4beada08d&vjs=3
46,"PHP Developer (Remote, based in the UK)",Gecko,,"#1 Development work - designing and implementing low-latency, high availability and performant software,.
Our tech stack is a mixture of PHP and Javascript and…",Remote,https://uk.indeed.com/rc/clk?jk=e5dfa3dbfa54c5bb&fccid=29126d34a81c83b3&vjs=3
47,.NET Consultant,Amido,,"Working with software configuration management, CI and versioning strategies.
NET Consultants. You will be joining a cross-functional team of highly skilled and…",Remote,https://uk.indeed.com/rc/clk?jk=75058f2cc9af60a7&fccid=1dd9cfabb691aa01&vjs=3
48,IT Systems Specialist,Jisc,,"To undertake infrastructure changes and software updates on Dynamics 365 as needed and develop the use of Microsoft Automated Testing Tools, Microsoft Flow,…",Remote,https://uk.indeed.com/rc/clk?jk=955c36d2b6cd6238&fccid=1d06ac18f1c89eab&vjs=3
49,Project Manager,Bell Integration,,"Mentor and develop junior members of staff in a nurturing manner.
Overview: *Bell Integration* is a technology services provider; supporting its customers…",Remote,https://uk.indeed.com/company/Bell-Integration/jobs/Project-Manager-77f437000b931326?fccid=ac0465a2ff988cbb&vjs=3
50,Junior Developer - LAMP,NAHL Group,,"Follow Agile development methodologies to deliver high quality, working software within set timescales.
As a Junior Developer you will be assisting in the…",Remote,https://uk.indeed.com/rc/clk?jk=48fd48c8cd3c84c9&fccid=369d39c75a1830e4&vjs=3
51,Software Engineer - AR / VR (London),Oculus,,"Experience mentoring junior staff / interns.
The ideal candidate is a software engineer with experience in VR, simulation, visualization or a creative industry …",Remote,https://uk.indeed.com/rc/clk?jk=0bf965df32a462c4&fccid=ba07516c418dda52&vjs=3
52,Junior Java Developer,Version 1,,You will be contributing to real decisions about technology to create maintainable solutions for our customers and participating in a highly collaborative group…,Remote,https://uk.indeed.com/rc/clk?jk=49eba0f06128fa7f&fccid=8ad0ba7074a5e6ea&vjs=3
53,Java Consultant,Amido,,"Working with software configuration management, CI and versioning strategies.
Our Technical Leads are hands-on, and using your knowledge of application…",Remote,https://uk.indeed.com/rc/clk?jk=8482a9f6c1d9f9e5&fccid=1dd9cfabb691aa01&vjs=3
54,Java Microservices Developer,MBR Partners,,"Many of the products are developer-facing, including APIs, software as a service, software distributed to 3rd parties, data, documentation and demonstrations.",Remote,https://uk.indeed.com/rc/clk?jk=44145444f64a937b&fccid=c29cde9509ea6817&vjs=3
55,Full Stack Developer,PeopleNet,,"Mentoring and coaching junior developers.
You have 4+ years of experience as a software engineer.
While working from the comfort of their own homes, our remote…",Remote,https://uk.indeed.com/rc/clk?jk=97a9ffeea1264d3a&fccid=b75610d06f16a4e3&vjs=3
56,Software Architect,NECSWS,,"Desire to work with and mentor junior engineers.
Define and implement common application integration patterns.
Agile methodologies such as Kanban and Scrum.",Remote,https://uk.indeed.com/rc/clk?jk=9ad6403029ae18c8&fccid=cd106fcc81f9985b&vjs=3
57,Developer in Test,Crimson Panda,,"Strong passion for best practice software development.
Mentor and develop junior members of the team, leading by example, exemplifying the values of the…",Remote,https://uk.indeed.com/rc/clk?jk=d0495b9bcb40f289&fccid=1fc10225da74be0d&vjs=3
58,Senior & Principal Software Engineers,PODFather,,"For the role of principal engineer experience of leadership or mentoring more junior engineers.
The role of Senior/Principal Software Engineer will be to…",Remote,https://uk.indeed.com/rc/clk?jk=b2cdc115f0f41394&fccid=9c5902b94cb0523f&vjs=3
59,Web Developer Front and Back End -Kinewell Energy,Graduate Internship Scheme,,"Coach and mentor more junior staff, and where allocated undertake a line management role.
You will be able to take advice and support from more senior staff…",Temporarily Remote,https://uk.indeed.com/company/Graduate-Internship-Scheme/jobs/Web-Developer-Front-Back-End-d5d1aaa573fbbe12?fccid=9748e31032d7c0df&vjs=3
60,Software Developer (C++),The Focusrite Group,,"Coach and advise more junior members of the team.
Salary: Negotiable depending on experience + excellent benefits.
Develop engaging and beautiful interfaces.",Remote,https://uk.indeed.com/rc/clk?jk=5172ce2566439e8c&fccid=372d82843482bdd3&vjs=3
61,Director of Product Management,Tokeet,,"Tokeet provides SaaS software and support for our customers.
Experience in software solutions (Saas), travel industry, or technology are pluses.",Remote,https://uk.indeed.com/rc/clk?jk=a6670d4c2fe75979&fccid=8b113ae533cb8d1d&vjs=3
62,Junior Digital Designer,NAHL Group,,"THE PURPOSE OF OUR JUNIOR DIGITAL DESIGNER.
As a Junior Digital Designer you will be working with the Senior Web designer & Developer in supporting delivery of…",Remote,https://uk.indeed.com/rc/clk?jk=ef35dae92e75c120&fccid=369d39c75a1830e4&vjs=3
63,Senior Software Engineer,Cubic Corporation,,"Provide mentorship to junior/associate engineers.
Able to analyse and solve complex software engineering problems.
Able to clearly convey complex ideas.",Remote,https://uk.indeed.com/rc/clk?jk=6765c6c44eed0544&fccid=21df030fae150acc&vjs=3
64,Senior Software Engineer (Backend),Mambo Solutions,,"Technical leadership in software teams.
Mentor junior engineers, onboarding them onto our development methodology.
Spring Framework including Core and Security.",Remote,https://uk.indeed.com/rc/clk?jk=20720175f0d285fb&fccid=a0e915f587a5bc0a&vjs=3
65,Junior Full Stack Software Developer,Paintgun.io,,"Work closely with other developers and product owner;
Produce clean, efficient code based on specifications;
Recommend and execute technical improvements;",Remote,https://uk.indeed.com/rc/clk?jk=b69a2c3926ce15be&fccid=ea7d7728b17252ad&vjs=3
66,Senior Software Engineer Full Time UK Posted 1 year ago,Clinpal,,"Utilizes software engineering tools such as configuration management systems, build processes, and debuggers in the software development process.",Remote,https://uk.indeed.com/rc/clk?jk=f531c5fc83d1425a&fccid=f5b83780271947bc&vjs=3
67,Quality Assurance Engineer (Metaverse),Improbable,,"Educate teams on the software development best practices via consultancy, communities of practice and bottom up grassroots practices.",Remote,https://uk.indeed.com/rc/clk?jk=c8cf3a9f938a4b8a&fccid=38e699803803146d&vjs=3
68,Senior Software Engineer,LoyaltyLion,,"Substantial experience in software engineering.
Merchants use LoyaltyLion when they want a loyalty program that is proven to increase customer engagement,…",Remote,https://uk.indeed.com/rc/clk?jk=fef65b47a2a23d2c&fccid=613f57f477a91170&vjs=3
69,"Software Engineering Manager, in SRE (Remote)",Dragoonis Technologies,,3+ years of experience leading software developers or site reliability engineers building customer-facing software applications or site reliability tools.,Remote,https://uk.indeed.com/company/Dragoonis-Technologies/jobs/Software-Engineering-Manager-90f2a26587d53037?fccid=812c7a18ac7fe18e&vjs=3
70,Senior Product Manager - Treasury,Ramp,,We’re looking for a Product Manager with an ‘always-looking-to-improve’ mindset to lead a cross-functional product team.,Remote,https://uk.indeed.com/rc/clk?jk=06d94ed5cce0af26&fccid=c5a99dfabd909b70&vjs=3
71,Senior Inertial Navigation / Sensor-Fusion Engineer,Focal Point Positioning,,"The role offers significant scope for professional development spanning the research, product and software engineering disciplines and mentorship of junior…",Remote,https://uk.indeed.com/rc/clk?jk=4096da0318e38c67&fccid=284dbd63b8f24854&vjs=3
72,Microsoft Systems Developer,The Private Office,,"Be a champion for software and operational best practices.
Liaise with third party software or data providers to help maintain existing and develop new…",Remote,https://uk.indeed.com/rc/clk?jk=363ca4a7ba4e15cc&fccid=b03b1b1301527a98&vjs=3
73,"Lead Engineer, R&D Software Engineering",Clario,,"Trains and technically supervises more junior staff.
Responsible for planning, organizing and conducting phases of software projects, based on assessment of…",Remote,https://uk.indeed.com/rc/clk?jk=db37ee1abe827cac&fccid=b8bcda06327fbc59&vjs=3
74,"Senior Support Engineer, L2 Support",Dotmatics Ltd.,,"Mentor and coach more junior members of the team.
Experience using Dotmatics products or similar research informatics software/tools.",Remote,https://uk.indeed.com/company/Dotmatics-Ltd./jobs/Senior-Support-Engineer-77e690b91309c2e5?fccid=4884b2c64d9ce1d7&vjs=3
75,Web Developer,Datasource,,"Remain knowledgeable of current software development tools and techniques.
15, staff to continue to expand and deliver their growing client and product…",Remote,https://uk.indeed.com/rc/clk?jk=17a3996ffba587af&fccid=290ed65fe937e741&vjs=3
76,Java Microservices Developer,MBR Partners,,"Many of the products are developer-facing, including APIs, software as a service, software distributed to 3rd parties, data, documentation and demonstrations.",Remote,https://uk.indeed.com/rc/clk?jk=44145444f64a937b&fccid=c29cde9509ea6817&vjs=3
77,Mid-Senior Developer,Equiniti,,"Previous work experience in software as developer.
Mentor junior team members in the implementation of Outreach.
Installation and setup of environments.",Remote,https://uk.indeed.com/rc/clk?jk=5242ad666f092625&fccid=5b82a3be2eb39d4b&vjs=3
78,Senior & Principal Software Engineers,PODFather,,"For the role of principal engineer experience of leadership or mentoring more junior engineers.
The role of Senior/Principal Software Engineer will be to…",Remote,https://uk.indeed.com/rc/clk?jk=b2cdc115f0f41394&fccid=9c5902b94cb0523f&vjs=3
79,Junior/Graduate React & React-Native Developer,Intrinsic Group Limited,,"You will need to regularly review your development standards and the quality of what you deliver, and you will need to consider your level of testing before…",Remote,https://uk.indeed.com/company/Intrinsic-Dev/jobs/Junior-Graduate-React-React-Native-Developer-f482e90cb7aa8b62?fccid=7424d7c90c7d3f05&vjs=3
80,Senior Software Engineer,ITI Operations Limited,,"Provide support and mentoring for more junior engineers.
Experience with software development and configuration tools, methods and processes.",Remote,https://uk.indeed.com/company/ITI-Group/jobs/Senior-Software-Engineer-09fb8a2efbd0c311?fccid=b97ba3ff8096f79c&vjs=3
81,Junior Project Manager,AppyWay,,"A familiarity of software release processes to ensure quality, working directly with product managers across different sectors.",Remote,https://uk.indeed.com/rc/clk?jk=3830b3b801317d7a&fccid=5f08b3f3e513f5fb&vjs=3
82,Technology Consultant,Revalize,,"Prior knowledge of CPQ software.
Get quickly up to speed with a basic understanding of the CPQ software.
Work with the team to develop and deliver enhancements…",Remote,https://uk.indeed.com/rc/clk?jk=451fa9eb4e4fcf41&fccid=f4a003f736c9715f&vjs=3
83,Lead .Net Developer,Pulse IT Recruitment Ltd,,"We are looking for lead software developers who can run with a project, support and mentor junior developers but as a hands on ""senior software developer""…",Remote,https://uk.indeed.com/company/Pulse-IT-Recruitment/jobs/Lead-Net-Developer-73e7df2ba1e39986?fccid=8b2b8431055d1848&vjs=3
84,Software Developer (C++),The Focusrite Group,,"Coach and advise more junior members of the team.
Salary: Negotiable depending on experience + excellent benefits.
Develop engaging and beautiful interfaces.",Remote,https://uk.indeed.com/rc/clk?jk=5172ce2566439e8c&fccid=372d82843482bdd3&vjs=3
85,"Lead Engineer, R&D Software Engineering",Clario,,"Trains and technically supervises more junior staff.
Responsible for planning, organizing and conducting phases of software projects, based on assessment of…",Remote,https://uk.indeed.com/rc/clk?jk=db37ee1abe827cac&fccid=b8bcda06327fbc59&vjs=3
86,Implementation Consultant,Stratospherec,,"Carry out software configuration in line with requirements.
My client a fast growing, innovative software business with a unique set of tools for the online…",Remote,https://uk.indeed.com/rc/clk?jk=1b11dfa1d62988af&fccid=702902d9996ab347&vjs=3
87,Senior Software Engineer,PSI Services,,"5+ years' experience in software engineering roles.
Provide mentoring and guidance to more junior members of Software Engineering teams.",Remote,https://uk.indeed.com/rc/clk?jk=69d727281c773f91&fccid=188d6c3e176aa869&vjs=3
88,Senior Software Engineer (Client) - Remote Working Available,Lockwood Publishing,,"Mentor more junior engineers to help with their career development and the performance of the team overall;
This role will involve working as part of the Game…",Remote,https://uk.indeed.com/company/Lockwood-Publishing/jobs/Senior-Software-Engineer-8d8f136a8156edec?fccid=24195862ff99fb07&vjs=3
89,Software Engineer - SRE,Citrix,,"This requires excellent architecture and a DevOps mentality in software development, operations, and site reliability engineering.",Remote,https://uk.indeed.com/rc/clk?jk=cc71a44638d442f9&fccid=3c41eea00c4f384f&vjs=3
90,Python Developer,Bright Purple Resourcing,,"Experience across the full software development lifecycle.
As a developer within this team, you will have experience using an OOP language preferably Python to…",Remote,https://uk.indeed.com/rc/clk?jk=e781fc45b372253e&fccid=9b585c4a656696ed&vjs=3
91,Junior Java Engineer,xDesign,,"Using agreed standards and specifications to design, create, test and document new or amended software.
Developing enterprise-scale back-end services with a…",Remote,https://uk.indeed.com/rc/clk?jk=8eb52cb769846183&fccid=ccfad7f9ee966b7a&vjs=3
92,Senior Software Engineer,ITI Operations Limited,,"Provide support and mentoring for more junior engineers.
Experience with software development and configuration tools, methods and processes.",Remote,https://uk.indeed.com/company/ITI-Group/jobs/Senior-Software-Engineer-09fb8a2efbd0c311?fccid=b97ba3ff8096f79c&vjs=3
93,Senior Software Engineer,PSI Services,,"5+ years' experience in software engineering roles.
Provide mentoring and guidance to more junior members of Software Engineering teams.",Remote,https://uk.indeed.com/rc/clk?jk=69d727281c773f91&fccid=188d6c3e176aa869&vjs=3
94,Senior Full Stack Engineer,Trilateral Research,,Demonstrable experience in working on collaborative software projects and knowledge of clean software architecture principles.,Remote,https://uk.indeed.com/rc/clk?jk=54adfac36ca80c95&fccid=a1d0e8d20645f63b&vjs=3
95,Senior Developer,Futurice,,"Eager to learn and grow in collaboration with wonderfully nice and extremely talented people, mostly in small, cross-functional teams.",Remote,https://uk.indeed.com/rc/clk?jk=363f13412692e91b&fccid=ae78ed73127a3743&vjs=3
96,Senior Software Engineer for Data,Techspert.io,,"Substantial experience in software engineering involving data or in data engineering roles with a significant software engineering component, including:",Remote,https://uk.indeed.com/rc/clk?jk=69d8404c52f0b5cf&fccid=905d07b6a342bd64&vjs=3
97,Technology Consultant,Revalize,,"Prior knowledge of CPQ software.
Get quickly up to speed with a basic understanding of the CPQ software.
Work with the team to develop and deliver enhancements…",Remote,https://uk.indeed.com/rc/clk?jk=451fa9eb4e4fcf41&fccid=f4a003f736c9715f&vjs=3
98,Senior Data Engineer,Techspert.io,,"Experienced with software engineering in Python.
Extensive experience in data engineering or equivalent strong, relevant software engineering experience.",Remote,https://uk.indeed.com/rc/clk?jk=131e4a03b1ef5aef&fccid=905d07b6a342bd64&vjs=3
99,Software Engineer - AR / VR (Zurich),Oculus,,"1+ year experience mentoring junior staff / interns.
The ideal candidate is a software engineer with experience in 3D, AR, VR, MR or computer vision using for…",Remote,https://uk.indeed.com/rc/clk?jk=732ab1d0b18dfc2b&fccid=ba07516c418dda52&vjs=3
100,Senior IOS Developer,Crimson Panda,,"Strong passion for best practice software development.
Empower and motive the junior members of the mobile development team.",Remote,https://uk.indeed.com/rc/clk?jk=6a42ee8b09a668ef&fccid=1fc10225da74be0d&vjs=3
101,Magento Backend Developer,ADLIB,,"Knowledge of software engineering and software design patterns.
Salaries up to £45k, with a clear and defined progression plan.
What experience you’ll need.",Remote,https://uk.indeed.com/rc/clk?jk=06cef1cf8b343491&fccid=4de305266493edf8&vjs=3
